business_name,business_city,business_state,business_postal_code,inspection_id,inspection_score,lowest_score,violation_description
111 Minna Gallery,San Francisco,CA,94105,65776_20170126,92.0,86,Improper or defective plumbing. Unpermitted food facility. Permit license or inspection report not posted. No plan review or Building Permit.
111 Minna Gallery,San Francisco,CA,94105,65776_20190604,94.0,60,Improper or defective plumbing. Moderate risk food holding temperature.
12 Tribes Kosher Foods,San Francisco,CA,94118,68597_20190529,98.0,77,Permit license or inspection report not posted.
1428 Haight,San Francisco,CA,94117,79117_20180817,77.0,6,Unclean or degraded floors walls or ceilings. Inadequate and inaccessible handwashing facilities. Unapproved or unmaintained equipment or utensils. Inadequate ventilation or lighting. High risk food holding temperature. Food safety certificate or food handler card not available. Unsanitary employee garments hair or nails. Wiping cloths not clean or properly stored or inadequate sanitizer.
15 Romolo,San Francisco,CA,94133,1844_20180604,88.0,69,Foods not protected from contamination. Inadequate and inaccessible handwashing facilities. Inadequately cleaned or sanitized food contact surfaces.
1601 Bar & Kitchen,San Francisco,CA,94103,69691_20170725,78.0,40,High risk food holding temperature. Improper reheating of food. Inadequate and inaccessible handwashing facilities. Moderate risk vermin infestation.
1601 Bar & Kitchen,San Francisco,CA,94103,69691_20180531,90.0,51,Inadequately cleaned or sanitized food contact surfaces. Inadequate HACCP plan record keeping. Improper food storage. No thermometers or uncalibrated thermometers.
1608 Bistro,San Francisco,CA,94109,95361_20180518,79.0,25,Foods not protected from contamination. Unclean or unsanitary food contact surfaces. Moderate risk vermin infestation. Improper storage of equipment utensils or linens. Inadequate and inaccessible handwashing facilities.
1608 Bistro,San Francisco,CA,94109,95361_20190522,77.0,41,Unclean or degraded floors walls or ceilings. Inadequately cleaned or sanitized food contact surfaces. Permit license or inspection report not posted. Improper reheating of food. Inadequate food safety knowledge or lack of certified food safety manager. Inadequate and inaccessible handwashing facilities.
17th & Noe Market,San Francisco,CA,94114,4474_20171011,96.0,68,Inadequate and inaccessible handwashing facilities.
17th & Noe Market,San Francisco,CA,94114,4474_20180820,96.0,70,Food in poor condition.
